,genres,popularity,production_companies,release_date,budget,revenue,runtime,vote_average,vote_count
308,Family-Animation-Fantasy-Adventure-Comedy,195.192,Paramount-Nickelodeon Movies-MRC-Mikros Image-United Plankton Pictures-Paramount Animation,2020-08-14,60000000.0,4700000.0,95.0,7.563,2546.0
312,Animation-Family,192.757,Pixar,2003-05-30,94000000.0,940335536.0,100.0,7.826,16878.0
313,Action-Mystery-Science Fiction-Thriller,191.011,20th Century Fox-Ingenious Media-Gotham Group-Dayday Films-Temple Hill Entertainment-TSG Entertainment,2014-09-10,34000000.0,348319861.0,113.0,7.169,15028.0
317,Fantasy-Adventure-Comedy,189.071,Yellow Black & White-Russia-1-Cinema Fund-The Walt Disney Company CIS,2021-01-01,8400000.0,27658331.0,120.0,7.0,117.0
320,Action-Adventure-Fantasy,187.549,Walt Disney Pictures-Davis Entertainment-TSG Entertainment-Flynn Picture Company-Zaftig Films-Seven Bucks Productions,2021-07-28,200000000.0,220889446.0,127.0,7.493,4674.0
327,Action-Crime-Thriller,184.676,Miramax-Metro-Goldwyn-Mayer-Lionsgate-Toff Guy Films-CAA Media Finance-Flic Films UK,2021-04-22,40000000.0,103966489.0,119.0,7.7,3981.0
328,Action-Comedy-Adventure,184.4,20th Century Fox-Genre Films-Maximum Effort,2018-05-10,110000000.0,786365638.0,120.0,7.496,15194.0
334,Drama-Action,181.167,New Line Cinema-Metro-Goldwyn-Mayer-Chartoff-Winkler Productions,2015-11-25,37000000.0,173567581.0,133.0,7.4,6179.0
336,Horror-Mystery,180.928,Ghost House Pictures-Screen Gems,2021-03-31,10000000.0,30833138.0,99.0,6.7,1748.0
337,Adventure-Action-Fantasy,179.75,Walt Disney Pictures-Jerry Bruckheimer Films-Moving Picture Company,2011-05-14,380000000.0,1045713802.0,137.0,6.526,12371.0
338,Animation-Family-Adventure-Comedy,179.531,Walt Disney Pictures-Pixar,2011-06-11,200000000.0,559852396.0,106.0,6.0,6491.0
340,Horror,179.314,United Artists-American Zoetrope-Myriad Pictures-Jeepers Creepers II,2003-08-08,17000000.0,63102666.0,104.0,6.091,1296.0
341,Action-Fantasy-Science Fiction,178.508,Legendary Pictures,2021-03-24,200000000.0,467863133.0,114.0,7.737,8301.0
344,Horror,177.093,Warner Bros. Pictures-Hoya Productions,1973-12-26,11000000.0,441306145.0,122.0,7.72,6595.0
346,Animation-Family-Comedy-Fantasy-Adventure,176.604,DreamWorks Pictures-Pacific Data Images-DreamWorks Animation,2004-05-19,150000000.0,928760770.0,93.0,7.196,10308.0
349,Animation-Family-Fantasy,176.056,Walt Disney Pictures-Silver Screen Partners IV-Walt Disney Feature Animation,1989-11-17,40000000.0,211343479.0,83.0,7.351,6668.0
350,Thriller-Action,175.938,South Australian Film Corporation-Screen Australia-Stan Australia-Deeper Water-Rogue Star Productions,2022-01-13,6500000.0,176048.0,97.0,6.3,399.0
355,Animation-Family-Adventure-Fantasy-Comedy,174.556,Universal Pictures-DreamWorks Animation,2020-11-25,65000000.0,168285000.0,95.0,7.551,3140.0
360,Horror,172.502,Dimension Films-Spectacle Entertainment Group-Nightfall Productions,2007-08-31,15000000.0,80460948.0,109.0,6.2,1902.0
362,Adventure-Family-Animation-Action-Comedy,171.063,Walt Disney Pictures-Walt Disney Animation Studios,2014-10-24,165000000.0,657827828.0,102.0,7.746,13976.0
364,Comedy-Adventure-Science Fiction,170.676,21 Laps Entertainment-Berlanti Productions-Maximum Effort-Lit Entertainment Group-20th Century Studios,2021-08-11,110000000.0,331096766.0,115.0,7.636,6356.0
368,War-Drama-Action,170.199,Columbia Pictures-Sony Pictures-Huayi Brothers Pictures-QED International-Crave Films-LStar Capital-Le Grisbi Productions,2014-10-15,68000000.0,211817906.0,135.0,7.5,10293.0
375,Family-Animation-Drama,169.022,Walt Disney Pictures-Walt Disney Animation Studios-Walt Disney Feature Animation,1994-06-23,45000000.0,763455561.0,89.0,8.262,15856.0
376,Action-Drama-Horror-Science Fiction-Thriller,168.263,Paramount-Plan B Entertainment-GK Films-Hemisphere Media Capital-Apparatus Productions-Latina Pictures-2DUX²-Skydance Media,2013-06-20,200000000.0,531865000.0,116.0,6.797,13480.0
380,Fantasy-Animation-Adventure,166.283,Tokuma Shoten-Tohokushinsha Film Corporation-DENTSU Music And Entertainment-Nippon Television Network Corporation-Studio Ghibli-Mitsubishi-d-rights,2004-09-09,24000000.0,236049757.0,119.0,8.402,7713.0
381,Adventure-Action-Thriller,166.048,Metro-Goldwyn-Mayer-Universal Pictures-Eon Productions,2021-09-29,250000000.0,774153007.0,163.0,7.447,4692.0
385,Comedy-Family-Animation,164.763,Warner Bros. Pictures-Turner Entertainment-Warner Animation Group-The Story Company,2021-02-10,50000000.0,132000000.0,101.0,7.0,2092.0
386,Horror-Mystery-Thriller,164.434,Myriad Pictures-Infinity Films-Cartel Pictures-Ansgar Media-Village Studios-Scoundrel Media,2017-09-26,6200000.0,3600000.0,100.0,4.9,700.0
390,Family-Adventure-Animation-Comedy-Fantasy,161.995,Walt Disney Pictures-Pixar,2019-06-19,175000000.0,1073394593.0,100.0,7.552,8339.0
394,Thriller-Horror,160.755,Ghost House Pictures-Screen Gems-Stage 6 Films-Good Universe-Bad Hombre Films,2021-08-12,10000000.0,53785551.0,98.0,7.262,1875.0
396,Mystery-Adventure-Comedy,160.576,Warner Bros. Pictures-Mosaic Media Group,2002-06-14,84000000.0,275650703.0,88.0,6.047,3740.0
398,Action-Thriller-Crime,160.359,Universal Pictures-Bay Films-Endeavor Content-New Republic Pictures-Project X Entertainment,2022-03-16,40000000.0,51783040.0,136.0,6.891,1202.0
399,Action-Adventure-Fantasy,160.351,WingNut Films-New Line Cinema-Metro-Goldwyn-Mayer-Warner Bros. Pictures-3Foot7,2014-12-10,250000000.0,956019788.0,144.0,7.299,12376.0
401,Science Fiction-Adventure,159.777,Legendary Pictures,2021-09-08,165000000.0,400671789.0,155.0,7.852,7884.0
402,Adventure-Action-Science Fiction,159.511,Marvel Studios,2010-04-28,200000000.0,623933331.0,124.0,6.833,18510.0
403,Action-Thriller,159.479,Paramount-Shanghai Film Group-TC Productions-Skydance Media-Huahua Media,2016-10-19,60000000.0,162146076.0,118.0,5.9,4138.0
404,Drama-Romance-Thriller,158.766,Trigger Street Productions-Focus Features-Michael De Luca Productions,2015-02-11,40000000.0,571006128.0,125.0,5.9,10508.0
407,Comedy-Crime,158.387,Columbia Pictures-Revolution Studios-Wayans Bros. Entertainment-Gone North Productions,2004-06-23,37000000.0,113086475.0,109.0,6.906,3096.0
416,Family-Animation-Adventure-Comedy-Fantasy,156.158,Walt Disney Pictures-Walt Disney Animation Studios,2019-11-20,150000000.0,1450026933.0,103.0,7.293,8455.0
418,Comedy-Family,154.902,Walt Disney Pictures,1998-07-28,15000000.0,92108518.0,128.0,7.14,3441.0
421,Action-Adventure-Fantasy,153.771,Columbia Pictures-Laura Ziskin Productions-Marvel Entertainment-Matt Tolmach Productions-Avi Arad Productions,2012-06-23,215000000.0,757930663.0,136.0,6.7,15376.0
425,Family-Animation-Comedy-Science Fiction,152.228,Warner Bros. Pictures-Warner Animation Group-SpringHill Entertainment-Proximity Media,2021-07-08,161900000.0,162892228.0,115.0,6.948,3325.0
427,Action-Fantasy-Adventure,151.834,Sony Pictures-Constantin Film-Impact Pictures-Toho-Screen Gems-CAPCOM-Tencent Pictures,2020-12-03,60000000.0,42145959.0,104.0,6.747,2701.0
